week_start,week_idx,month,week_of_year,spend_meta,spend_google,spend_influencer,spend_email_sms,spend_affiliate,spend_tv_ooh,festive_flag,payday_week,sale_event_flag,promo_flag,avg_price,discount_rate,coupon_usage_pct,impressions_meta,clicks_meta,ctr_meta,cpc_meta,impressions_google,clicks_google,ctr_google,cpc_google,impressions_influencer,clicks_influencer,ctr_influencer,cpc_influencer,impressions_affiliate,clicks_affiliate,ctr_affiliate,cpc_affiliate,email_sends,email_opens,email_open_rate,grps_tv_ooh,website_sessions,direct_traffic,branded_search_index,category_search_index,app_installs,consumer_confidence,stock_out_flag,delivery_delay_flag,units_sold,orders,returns_pct,avg_order_value,gross_revenue,revenue,true_units_contribution_meta,true_units_contribution_google,true_units_contribution_influencer,true_units_contribution_email_sms,true_units_contribution_affiliate,true_units_contribution_tv_ooh,true_units_price_effect,true_units_discount_effect,true_units_macro_effect,true_units_category_effect,true_units_base
2024-01-01,0,1,1,161873.0,101750.0,55201.0,14808.0,30652.0,59412.0,1,1,0,1,1004.0,22.4,36.9,1502100.0,17513.0,1.17,9.24,461468.0,22900.0,4.96,4.44,746560.0,7042.0,0.94,7.84,523509.0,13897.0,2.65,2.21,29616.0,6393.0,21.59,8.3,24773.0,6644.0,104.1,117.4,257.0,100.0,0,0,5955.0,5195,4.0,857.0,4639564.0,4453982.0,823.8,504.3,311.6,146.0,160.5,96.0,-20.1,219.5,0.0,60.9,3543.6
2024-01-08,1,1,2,115947.0,83692.0,54823.0,16906.0,74642.0,26256.0,0,0,0,1,998.0,17.9,25.5,918966.0,8882.0,0.97,13.05,309079.0,12785.0,4.14,6.55,741535.0,6366.0,0.86,8.61,1336244.0,25616.0,1.92,2.91,33812.0,10073.0,29.79,3.2,26481.0,7297.0,109.8,117.2,278.0,101.6,0,0,6331.0,5453,3.0,923.0,5187355.0,5031735.0,869.8,517.3,452.3,177.3,381.3,117.9,4.0,175.4,3.4,60.2,3558.6
2024-01-15,2,1,3,181861.0,125400.0,65470.0,15827.0,75820.0,71216.0,0,0,0,0,992.0,4.9,6.4,1561515.0,14719.0,0.94,12.36,487662.0,24057.0,4.93,5.21,1057688.0,7838.0,0.74,8.35,1342063.0,25518.0,1.9,2.97,31654.0,6807.0,21.51,8.7,27163.0,6770.0,108.1,117.7,356.0,98.6,0,0,6819.0,5691,4.3,1082.0,6432990.0,6156371.0,1110.0,727.3,543.4,171.4,428.7,263.9,28.2,48.0,-2.9,62.0,3573.0
2024-01-22,3,1,4,191190.0,105851.0,49847.0,16631.0,67960.0,69959.0,0,0,0,0,1001.0,5.1,6.7,1848801.0,24591.0,1.33,7.77,439991.0,18069.0,4.11,5.86,724249.0,6608.0,0.91,7.54,1240904.0,25174.0,2.03,2.7,33262.0,7507.0,22.57,8.4,29345.0,6831.0,108.2,121.3,268.0,96.5,0,0,6906.0,6081,4.2,1034.0,6560348.0,6284813.0,1196.3,677.5,557.1,177.4,431.3,363.3,-8.1,50.0,-7.4,74.5,3586.6
2024-01-29,4,1,5,93025.0,82625.0,71619.0,13583.0,48873.0,112279.0,0,0,0,0,996.0,1.7,2.5,826971.0,8142.0,0.98,11.42,404705.0,20758.0,5.13,3.98,978928.0,10028.0,1.02,7.14,814425.0,18337.0,2.25,2.67,27166.0,5743.0,21.14,11.6,26238.0,6445.0,107.5,117.3,267.0,93.4,0,1,6757.0,5663,10.6,1044.0,6615562.0,5914313.0,937.5,548.5,605.3,151.7,396.8,533.7,12.1,16.7,-13.9,60.5,3599.6
2024-02-05,5,2,6,109681.0,90682.0,86814.0,17248.0,67989.0,119753.0,0,1,0,0,997.0,6.3,9.4,957079.0,9288.0,0.97,11.81,408324.0,23957.0,5.87,3.79,1224903.0,9548.0,0.78,9.09,1160997.0,21693.0,1.87,3.13,34496.0,7877.0,22.83,13.4,27007.0,8025.0,108.7,118.3,351.0,94.4,1,0,5580.0,5021,4.5,991.0,5212775.0,4978200.0,884.0,564.6,651.1,180.6,419.9,645.4,8.1,61.7,-11.8,64.0,3611.9
2024-02-12,6,2,7,157209.0,118531.0,64503.0,19267.0,45571.0,76918.0,0,0,0,0,1006.0,4.5,7.7,1598661.0,17503.0,1.09,8.98,518542.0,22995.0,4.43,5.15,1026816.0,9978.0,0.97,6.46,791242.0,14671.0,1.85,3.11,38534.0,9216.0,23.92,10.6,29307.0,7905.0,107.8,113.0,278.0,93.2,0,0,7343.0,6468,3.7,1050.0,7054640.0,6793619.0,1039.5,704.7,649.2,198.8,383.3,635.9,-28.2,44.1,-14.3,45.5,3623.7
2024-02-19,7,2,8,141041.0,131906.0,69299.0,13060.0,48327.0,56083.0,0,0,0,0,991.0,4.5,7.1,1179142.0,12831.0,1.09,10.99,511507.0,17693.0,3.46,7.46,1113192.0,10425.0,0.94,6.65,814630.0,18496.0,2.27,2.61,26120.0,5681.0,21.75,5.7,30099.0,7290.0,108.4,113.0,322.0,93.6,0,0,6949.0,6326,4.5,993.0,6576568.0,6280623.0,1035.6,784.2,654.0,149.4,372.7,587.3,32.2,44.1,-13.4,45.5,3635.0
2024-02-26,8,2,9,152385.0,166636.0,62609.0,13235.0,32806.0,87428.0,0,0,0,0,1010.0,3.0,4.8,1299627.0,12829.0,0.99,11.88,621074.0,26169.0,4.21,6.37,837839.0,8251.0,0.98,7.59,529666.0,11086.0,2.09,2.96,26470.0,6956.0,26.28,10.1,29521.0,7560.0,108.0,115.6,237.0,95.7,0,1,7251.0,6156,8.7,1054.0,7103805.0,6485774.0,1069.9,913.5,648.7,145.5,322.0,616.3,-44.3,29.4,-9.0,54.6,3646.0
2024-03-04,9,3,10,123946.0,200584.0,61641.0,18493.0,51380.0,55447.0,0,1,0,0,991.0,2.7,4.8,1145999.0,12153.0,1.06,10.2,854606.0,44584.0,5.22,4.5,877601.0,8770.0,1.0,7.03,833859.0,13049.0,1.56,3.94,36986.0,8334.0,22.53,6.7,29165.0,8366.0,104.1,114.9,291.0,95.2,0,0,7742.0,6976,3.4,1034.0,7465169.0,7211354.0,989.6,1015.9,644.0,189.9,357.9,570.9,32.2,26.5,-10.1,52.2,3656.7
